"date","open","high","low","close"
2018-05-30,10866,10866,10784,10801
2018-05-31,10861,10896,10850,10887
2018-06-01,10874,10942,10868,10941
2018-06-04,10990,11114,10990,11109
2018-06-05,11131,11139,11066,11096
2018-06-06,11124,11220,11124,11209
2018-06-07,11258,11260,11197,11246
2018-06-08,11216,11227,11132,11145
2018-06-11,11170,11190,11118,11162
2018-06-12,11153,11163,11075,11159
2018-06-13,11152,11169,11096,11145
2018-06-14,11100,11106,10984,10984
2018-06-15,11000,11075,10960,11055
2018-06-19,10950,10958,10873,10873
2018-06-20,10865,10905,10780,10905
2018-06-21,10886,10910,10860,10871
2018-06-22,10792,10846,10753,10817
2018-06-25,10796,10833,10748,10748
2018-06-26,10720,10761,10660,10756
2018-06-27,10748,10748,10677,10685
2018-06-28,10638,10693,10607,10647
2018-06-29,10656,10815,10651,10800
2018-07-02,10803,10842,10736,10738
2018-07-03,10774,10839,10686,10738
2018-07-04,10650,10672,10627,10654
2018-07-05,10671,10671,10529,10539
2018-07-06,10570,10588,10460,10568
2018-07-09,10608,10707,10608,10692
2018-07-10,10762,10770,10707,10729
2018-07-11,10619,10657,10575,10615
2018-07-12,10639,10750,10608,10740
2018-07-13,10805,10850,10768,10850
2018-07-16,10852,10874,10807,10814
2018-07-17,10811,10818,10756,10769
2018-07-18,10812,10848,10776,10802
2018-07-19,10830,10877,10798,10808
2018-07-20,10852,10926,10852,10908
2018-07-23,10917,10967,10880,10915
2018-07-24,10918,10972,10896,10969
2018-07-25,10925,10935,10893,10915
2018-07-26,10962,10972,10932,10965
2018-07-27,10979,11039,10974,11037
2018-07-30,11013,11051,10990,10990
2018-07-31,10983,11043,10970,11037
2018-08-01,11058,11081,11051,11071
2018-08-02,11073,11073,10892,10907
2018-08-03,10960,11000,10960,10995
2018-08-06,11011,11050,10990,11013
2018-08-07,11013,11024,10983,10992
2018-08-08,10996,11070,10996,11049
2018-08-09,11032,11037,10968,11019
2018-08-10,10970,11022,10954,10960
2018-08-13,10910,10912,10693,10756
2018-08-14,10794,10831,10756,10819
2018-08-15,10809,10831,10686,10698
2018-08-16,10639,10734,10607,10700
2018-08-17,10729,10744,10667,10679
2018-08-20,10706,10726,10670,10686
2018-08-21,10716,10785,10701,10781
2018-08-22,10781,10800,10760,10776
2018-08-23,10796,10862,10779,10862
2018-08-24,10835,10847,10758,10811
2018-08-27,10864,10907,10811,10901
2018-08-28,10949,10995,10949,10975
2018-08-29,10984,11066,10984,11060
2018-08-30,11091,11158,11051,11054
2018-08-31,11018,11051,10990,11051
2018-09-03,11045,11067,10947,10956
2018-09-04,10976,11021,10957,11021
2018-09-05,10981,11039,10968,10968
2018-09-06,10930,10966,10889,10916
2018-09-07,10875,10907,10820,10857
2018-09-10,10879,10893,10717,10741
2018-09-11,10756,10767,10691,10752
2018-09-12,10760,10773,10687,10724
2018-09-13,10742,10779,10710,10718
2018-09-14,10785,10887,10771,10881
2018-09-17,10859,10869,10810,10824
2018-09-18,10783,10819,10761,10782
2018-09-19,10839,10877,10829,10877
2018-09-20,10911,10929,10838,10854
2018-09-21,10902,10980,10866,10980
2018-09-25,10962,11001,10948,10983
2018-09-26,10966,10998,10961,10986
